"X","Neighborhood","Neighborhood.Latitude","Neighborhood.Longitude","Venue","Venue.Latitude","Venue.Longitude","Venue.Category"
160,"Bangalore",12.9528654285714,77.6448527142857,"Pasta Street - Indiranagar",12.9671679012904,77.6415285872711,"Pizza Place"
161,"Bangalore",12.9528654285714,77.6448527142857,"Terrazzo",12.969337035464,77.6414037213254,"Italian Restaurant"
162,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Corner",12.9345198878677,77.6124455478956,"Pizza Place"
163,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9731788879304,77.6073916342203,"Pizza Place"
164,"Bangalore",12.9528654285714,77.6448527142857,"Vinny's Pizza",12.957096,77.638016,"Pizza Place"
165,"Bangalore",12.9528654285714,77.6448527142857,"Vtos Pizzeria",12.934344,77.616254,"Pizza Place"
166,"Bangalore",12.9528654285714,77.6448527142857,"380 Down",12.9751819569902,77.6468571382522,"Bar"
167,"Bangalore",12.9528654285714,77.6448527142857,"Taco Bell",12.9373619315856,77.6270075471274,"Taco Place"
168,"Bangalore",12.9528654285714,77.6448527142857,"Pasta Street - Koramangala",12.9329345972313,77.6310427486897,"Pizza Place"
169,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9259935627045,77.6753643032983,"Pizza Place"
170,"Bangalore",12.9528654285714,77.6448527142857,"Crunch Pizza",12.9713035193611,77.6505111757588,"Italian Restaurant"
171,"Bangalore",12.9528654285714,77.6448527142857,"The Pizza Bakery",12.9702649921096,77.6447231084735,"Pizza Place"
172,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut Delivery",12.9156652756901,77.6516856999785,"Pizza Place"
173,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Corner",12.9754948566005,77.6415181159973,"Pizza Place"
174,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut Delivery (PHD)",12.985541170239,77.6683178787143,"Pizza Place"
175,"Bangalore",12.9528654285714,77.6448527142857,"Gusto's Pizza",12.9249735777426,77.6747374401529,"Pizza Place"
176,"Bangalore",12.9528654285714,77.6448527142857,"Northam's Pizza.Pita",12.908848926009,77.6466407517666,"Pizza Place"
177,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9931816029134,77.6615934151618,"Pizza Place"
178,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Corner",12.9932748467239,77.6637825832822,"Pizza Place"
179,"Bangalore",12.9528654285714,77.6448527142857,"U.S. Pizza",12.9738472852674,77.6656168555972,"Pizza Place"
180,"Bangalore",12.9528654285714,77.6448527142857,"Stoked!",12.93144,77.628694,"Italian Restaurant"
181,"Bangalore",12.9528654285714,77.6448527142857,"Doff Pub",12.9773819595336,77.6408167546306,"Pub"
182,"Bangalore",12.9528654285714,77.6448527142857,"The Boozy Griffin",12.9345606017404,77.6161878939471,"Pub"
183,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9123183942473,77.6378415328277,"Pizza Place"
184,"Bangalore",12.9528654285714,77.6448527142857,"Ministry of Pizza",12.933503,77.621412,"Pizza Place"
185,"Bangalore",12.9528654285714,77.6448527142857,"Lakeview Milk Bar",12.969001257754,77.6413391817881,"Café"
186,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut Delivery PHD",12.9165688763135,77.6201809769078,"Pizza Place"
187,"Bangalore",12.9528654285714,77.6448527142857,"Go Italia",12.9347150045946,77.6293844200468,"Italian Restaurant"
188,"Bangalore",12.9528654285714,77.6448527142857,"Hello Cafe/Bistro",12.946313,77.64972,"Restaurant"
189,"Bangalore",12.9528654285714,77.6448527142857,"Sbarro",12.9939689987869,77.6610423034261,"Italian Restaurant"
190,"Bangalore",12.9528654285714,77.6448527142857,"Bites And Eats",12.9625978969231,77.6430722367894,"Burger Joint"
191,"Bangalore",12.9528654285714,77.6448527142857,"Café Mondo",12.9136847282035,77.6517078951166,"Café"
192,"Bangalore",12.9528654285714,77.6448527142857,"Tilt - The Gastropub",12.934171165506,77.6156406374764,"Pub"
193,"Bangalore",12.9528654285714,77.6448527142857,"Bread Works",12.9738208878241,77.6419617317026,"Bakery"
194,"Bangalore",12.9528654285714,77.6448527142857,"Nandhini Cool Joint",12.9117128096605,77.6445125053976,"Snack Place"
195,"Bangalore",12.9528654285714,77.6448527142857,"Ruby Tuesday",12.9749346180434,77.6052777047294,"American Restaurant"
196,"Bangalore",12.9528654285714,77.6448527142857,"Mast Kalandar",12.9601963324286,77.6449143989154,"Indian Restaurant"
197,"Bangalore",12.9528654285714,77.6448527142857,"The French Loaf",12.9123821778873,77.6517902879421,"Snack Place"
198,"Bangalore",12.9528654285714,77.6448527142857,"Baithak",12.9106568623876,77.6517848989525,"Café"
199,"Bangalore",12.9528654285714,77.7130361428571,"Toscano",12.959787551767,77.7476028792235,"Italian Restaurant"
200,"Bangalore",12.9528654285714,77.7130361428571,"Domino's",12.939016677944,77.6991820804758,"Pizza Place"
201,"Bangalore",12.9528654285714,77.7130361428571,"Oliver's",12.9821836011613,77.7086819333622,"American Restaurant"
202,"Bangalore",12.9528654285714,77.7130361428571,"Pizza Hut",12.9866712812496,77.7363028548285,"Pizza Place"
203,"Bangalore",12.9528654285714,77.7130361428571,"Domino's Pizza",12.958,77.716,"Pizza Place"
204,"Bangalore",12.9528654285714,77.7130361428571,"Gusto's Pizza",12.9571503474372,77.7151196504163,"Pizza Place"
205,"Bangalore",12.9528654285714,77.7130361428571,"Dominos Pizza",12.935486,77.69416,"Pizza Place"
206,"Bangalore",12.9528654285714,77.7130361428571,"Domino's Pizza",12.9559033699765,77.7115302431883,"Pizza Place"
207,"Bangalore",12.9528654285714,77.7130361428571,"U.S Pizza",12.9619343525703,77.7014630089317,"Pizza Place"
208,"Bangalore",12.9528654285714,77.7130361428571,"Domino's Pizza",12.9260449825085,77.6761074208053,"Pizza Place"
209,"Bangalore",12.9528654285714,77.7130361428571,"Domino's Pizza",12.9597247420322,77.7477032238277,"Pizza Place"
210,"Bangalore",12.9528654285714,77.7130361428571,"Papa John's",12.9393223130268,77.6952412487872,"Pizza Place"
211,"Bangalore",12.9528654285714,77.7130361428571,"Pizza Hut Delivery (PHD)",12.9391042133937,77.6947598534328,"Pizza Place"
212,"Bangalore",12.9528654285714,77.7130361428571,"Domino's Pizza",12.957,77.705,"Pizza Place"
213,"Bangalore",12.9528654285714,77.7130361428571,"Dominos Pizza",12.9420566943523,77.6964985754994,"Pizza Place"
214,"Bangalore",12.9528654285714,77.7130361428571,"Pizza hut",12.9793805677008,77.7288072910105,"Pizza Place"
215,"Bangalore",12.9528654285714,77.7130361428571,"Onesta",12.957722,77.74561,"Pizza Place"
216,"Bangalore",12.9528654285714,77.7130361428571,"Taco Bell",12.9659060683101,77.7182444090814,"Fast Food Restaurant"
217,"Bangalore",12.9528654285714,77.7130361428571,"Dominos @ Forum value mall",12.9603322570881,77.7476585187867,"Pizza Place"
218,"Bangalore",12.9528654285714,77.7130361428571,"Chef Bakers",12.9671940026663,77.7165953394621,"Bakery"
219,"Bangalore",12.9528654285714,77.7130361428571,"The Eatery",12.9428509523018,77.6949723032415,"Restaurant"
220,"Bangalore",12.9528654285714,77.7130361428571,"Chef Baker's",12.9531121946508,77.7000978117402,"Bakery"
221,"Bangalore",12.9528654285714,77.7130361428571,"Outback",12.9870908996636,77.7364359121666,"American Restaurant"
222,"Bangalore",13.0064985714286,77.5084858571429,"Domino's Pizza",12.988,77.507,"Pizza Place"
223,"Bangalore",13.0064985714286,77.5084858571429,"Pizza Hut",12.9971478764944,77.540445872909,"Pizza Place"
224,"Bangalore",13.0064985714286,77.5084858571429,"Papa John's",12.9933853011982,77.5334223911746,"Pizza Place"
225,"Bangalore",13.0064985714286,77.5084858571429,"Domino's Pizza",13.0037640884975,77.5535990161501,"Pizza Place"
226,"Bangalore",13.0064985714286,77.5084858571429,"Papa Johns Pizza",12.9982541054739,77.542769908905,"Pizza Place"
227,"Bangalore",13.0064985714286,77.5084858571429,"Domino's Pizza",12.9917214989748,77.537746906468,"Pizza Place"
228,"Bangalore",13.0064985714286,77.5084858571429,"Pizza Corner",12.9723717937343,77.5381747426524,"Pizza Place"
229,"Bangalore",13.0064985714286,77.5084858571429,"Cafe Mama Mia",12.9983164290832,77.5407861673013,"Café"
230,"Bangalore",13.0064985714286,77.5766692857143,"Pasta Street - Cunningham Road",12.9883851297942,77.5938914260064,"Pizza Place"
231,"Bangalore",13.0064985714286,77.5766692857143,"Toscano",12.9719803808514,77.5960656523831,"Italian Restaurant"
232,"Bangalore",13.0064985714286,77.5766692857143,"Toscano",13.0117127716482,77.5559680946897,"Italian Restaurant"
233,"Bangalore",13.0064985714286,77.5766692857143,"Brik Oven",12.9747567049164,77.6054413107612,"Pizza Place"
234,"Bangalore",13.0064985714286,77.5766692857143,"Chetty's Corner",12.9924654462187,77.5784154953452,"Food & Drink Shop"
235,"Bangalore",13.0064985714286,77.5766692857143,"Pizza Hut",13.0056315346845,77.5785697971655,"Pizza Place"
236,"Bangalore",13.0064985714286,77.5766692857143,"Sunny's",12.9720234461765,77.5984539970351,"Italian Restaurant"
237,"Bangalore",13.0064985714286,77.5766692857143,"Pizza Hut @ Mantri Mall",12.9915812412663,77.5709706337997,"Pizza Place"
238,"Bangalore",13.0064985714286,77.5766692857143,"Domino's Pizza",12.998,77.571,"Pizza Place"
239,"Bangalore",13.0064985714286,77.5766692857143,"Pizza Hut",13.0232335248358,77.5927322545114,"Pizza Place"
240,"Bangalore",13.0064985714286,77.5766692857143,"Pizza Hut",13.0276860075138,77.5715926751911,"Pizza Place"
241,"Bangalore",13.0064985714286,77.5766692857143,"Sbarro",13.0112943162344,77.5550687181028,"Italian Restaurant"
242,"Bangalore",13.0064985714286,77.5766692857143,"Domino's Pizza",12.991,77.595,"Pizza Place"
243,"Bangalore",13.0064985714286,77.5766692857143,"The Biere Club",12.9710611043903,77.5976571769739,"Brewery"
244,"Bangalore",13.0064985714286,77.5766692857143,"Pizza Stop",12.9864207076754,77.5948089761707,"Pizza Place"
245,"Bangalore",13.0064985714286,77.5766692857143,"Domino's Pizza",13.0186962795386,77.5921722180734,"Pizza Place"
246,"Bangalore",13.0064985714286,77.5766692857143,"Café Coffee Day - Lounge",13.0075364516649,77.5795528049852,"Café"
247,"Bangalore",13.0064985714286,77.5766692857143,"Dublin",12.9943009375209,77.5857118406311,"Pub"
248,"Bangalore",13.0064985714286,77.5766692857143,"Le Cristaal",12.9711382521218,77.5975482254778,"Restaurant"
249,"Bangalore",13.0064985714286,77.5766692857143,"Sbarro",12.9916160454793,77.5705259607604,"Pizza Place"
250,"Bangalore",13.0064985714286,77.5766692857143,"Lakeview Milk Bar",12.9760312027167,77.6037912623787,"Ice Cream Shop"
251,"Bangalore",13.0064985714286,77.5766692857143,"Domino's Pizza",13.0037640884975,77.5535990161501,"Pizza Place"
252,"Bangalore",13.0064985714286,77.5766692857143,"Cafe Mangii",12.9719848560691,77.5959713154718,"Italian Restaurant"
